bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Va,M_Vm,M_P,M_Q,Ri_V,Ri_vP,Ri_vQ
33,Haviland,1,1,0,0.972,10.63,0.23,0.09,0,0,0,0,0,0,0,0,0,-19.1312,0.971606,-0.230019,-0.0900059,1,1,1
34,Rockhill,1,1,2,0.986,11.3,0.59,0.26,0,0,0,0.984,24,-8,0,0.14,0,-18.4906,0.986,-0.590691,-0.328028,1,1,1
35,WestLima,1,1,0,0.981,10.87,0.33,0.09,0,0,0,0,0,0,0,0,0,-18.9154,0.980695,-0.33017,-0.0900006,1,1,1
36,Sterling,1,1,2,0.98,10.87,0.31,0.17,0,0,0,0.98,24,-8,0,0,0,-18.9106,0.98,-0.309716,-0.189235,1,1,1
37,EastLima,1,1,0,0.992,11.77,0,0,0,0,0,0,0,0,0,-0.25,0,-18.0258,0.992079,-0.000542804,-1.22E-05,1,1,1
38,EastLima,1,1,0,0.962,16.91,0,0,0,0,0,0,0,0,0,0,0,-12.889,0.962036,0.000270789,5.74E-07,1,1,1
39,NwLibrty,1,1,0,0.97,8.41,0.27,0.11,0,0,0,0,0,0,0,0,0,-21.39298,0.970487,-0.270275,-0.110004,1,1,1
40,West End,1,1,2,0.97,7.35,0.2,0.23,-0.46,0,0,0.97,300,-300,0,0,0,-22.46294,0.97,-0.657884,0.0370169,1,1,1
41,S.Tiffin,1,1,0,0.967,6.92,0.37,0.1,0,0,0,0,0,0,0,0,0,-22.91038,0.966831,-0.37017,-0.100009,1,1,1
42,Howard,1,1,2,0.985,8.53,0.37,0.23,-0.59,0,0,0.985,300,-300,0,0,0,-21.31723,0.985,-0.959673,0.1798,1,1,1
43,S.Kenton,1,1,0,0.978,11.28,0.18,0.07,0,0,0,0,0,0,0,0,0,-18.5377,0.978584,-0.179985,-0.0700009,1,1,1
44,WMVernon,1,1,0,0.985,13.82,0.16,0.08,0,0,0,0,0,0,0,0.1,0,-16.0542,0.985052,-0.159989,-0.0799991,1,1,1
45,N.Newark,1,1,0,0.987,15.67,0.53,0.22,0,0,0,0,0,0,0,0.1,0,-14.2242,0.986673,-0.530147,-0.219994,1,1,1
46,W.Lancst,1,1,2,1.005,18.49,0.28,0.1,0.19,0,0,1.005,100,-100,0,0.1,0,-11.4188,1.005,-0.0903016,-0.152349,1,1,1
47,Crooksvl,1,1,0,1.017,20.73,0.34,0,0,0,0,0,0,0,0,0,0,-9.1954,1.01705,-0.340016,-3.55E-15,1,1,1
48,Zanesvll,1,1,0,1.021,19.93,0.2,0.11,0,0,0,0,0,0,0,0.15,0,-9.9751,1.02063,-0.200042,-0.110003,1,1,1
49,Philo,1,1,2,1.025,20.94,0.87,0.3,2.04,0,0,1.025,210,-85,0,0,0,-8.9716,1.025,1.16684,0.857034,1,1,1
50,WCambrdg,1,1,0,1.001,18.9,0.17,0.04,0,0,0,0,0,0,0,0,0,-11.0093,1.00108,-0.169984,-0.040017,1,1,1
51,Newcmrst,1,1,0,0.967,16.28,0.17,0.08,0,0,0,0,0,0,0,0,0,-13.6271,0.966869,-0.17003,-0.0800377,1,1,1
52,SCoshoct,1,1,0,0.957,15.32,0.18,0.05,0,0,0,0,0,0,0,0,0,-14.5803,0.956809,-0.180082,-0.049997,1,1,1
53,Wooster,1,1,0,0.946,14.35,0.23,0.11,0,0,0,0,0,0,0,0,0,-15.5538,0.945975,-0.230212,-0.110013,1,1,1
54,Torrey,1,1,2,0.955,15.26,1.13,0.32,0.48,0,0,0.955,300,-300,0,0,0,-14.6393,0.955,-0.650081,-0.280947,1,1,1
55,Wagenhls,1,1,2,0.952,14.97,0.63,0.22,0,0,0,0.952,23,-8,0,0,0,-14.9283,0.952,-0.629386,-0.173537,1,1,1
56,Sunnysde,1,1,2,0.954,15.16,0.84,0.18,0,0,0,0.954,15,-8,0,0,0,-14.7418,0.954,-0.837503,-0.20356,1,1,1
57,WNwPhil1,1,1,0,0.971,16.36,0.12,0.03,0,0,0,0,0,0,0,0,0,-13.5411,0.970576,-0.120368,-0.0299969,1,1,1
58,WNwPhil2,1,1,0,0.959,15.51,0.12,0.03,0,0,0,0,0,0,0,0,0,-14.3978,0.959029,-0.120357,-0.029996,1,1,1
59,Tidd,1,1,2,0.985,19.37,2.77,1.13,1.55,0,0,0.985,180,-60,0,0,0,-10.5422,0.985,-1.22065,-0.361546,1,1,1
60,SWKammer,1,1,0,0.993,23.15,0.78,0.03,0,0,0,0,0,0,0,0,0,-6.7613,0.993156,-0.780009,-0.03,1,1,1
61,W.Kammer,1,1,2,0.995,24.04,0,0,1.6,0,0,0.995,300,-100,0,0,0,-5.8699,0.995,1.59997,-0.403964,1,1,1
62,Natrium,1,1,2,0.998,23.43,0.77,0.14,0,0,0,0.998,20,-20,0,0,0,-6.4868,0.998,-0.77,-0.127427,1,1,1
63,Tidd,1,1,0,0.969,22.75,0,0,0,0,0,0,0,0,0,0,0,-7.1637,0.968738,4.36E-05,-2.46E-07,1,1,1
64,Kammer,1,1,0,0.984,24.52,0,0,0,0,0,0,0,0,0,0,0,-5.3981,0.983739,-6.18E-07,3.33E-07,1,1,1
65,Muskngum,1,1,2,1.005,27.65,0,0,3.91,0,0,1.005,200,-67,0,0,0,-2.2728,1.005,3.9102,0.807668,1,1,1
66,Muskngum,1,1,2,1.05,27.48,0.39,0.18,3.92,0,0,1.05,200,-67,0,0,0,-2.4337,1.05,3.52993,-0.199573,1,1,1
67,Summerfl,1,1,0,1.02,24.84,0.28,0.07,0,0,0,0,0,0,0,0,0,-5.073,1.01968,-0.279981,-0.0700013,1,1,1
68,Sporn,1,1,0,1.003,27.55,0,0,0,0,0,0,0,0,0,0,0,-2.3929,1.00325,0.0030665,1.32E-06,1,1,1
69,Sporn,1,1,3,1.035,30,0,0,5.164,0,0,1.035,300,-300,0,0,0,0,1.035,5.1358,-0.82467,1,1,1
70,Portsmth,1,1,2,0.984,22.58,0.66,0.2,0,0,0,0.984,32,-10,0,0,0,-7.3971,0.984,-0.662641,-0.102547,1,1,1
71,NPortsmt,1,1,0,0.987,22.15,0,0,0,0,0,0,0,0,0,0,0,-7.807,0.986845,-5.29E-05,0,1,1,1
72,Hillsbro,1,1,2,0.98,20.98,0,0,-0.12,0,0,0.98,100,-100,0,0,0,-8.899,0.98,-0.11992,-0.111331,1,1,1
73,Sargents,1,1,2,0.991,21.94,0,0,-0.06,0,0,0.991,100,-100,0,0,0,-8.0186,0.991,-0.0600211,0.0965174,1,1,1
74,Bellefnt,1,1,2,0.958,21.64,0.68,0.27,0,0,0,0.958,9,-6,0,0.12,0,-8.353,0.958,-0.68455,-0.324729,1,1,1
75,SthPoint,1,1,0,0.967,22.91,0.47,0.11,0,0,0,0,0,0,0,0,0,-7.0808,0.96733,-0.467921,-0.110067,1,1,1
76,Darrah,1,1,2,0.943,21.77,0.68,0.36,0,0,0,0.943,23,-8,0,0,0,-8.2098,0.943,-0.680363,-0.306876,1,1,1
77,Turner,1,1,2,1.006,26.72,0.61,0.28,0,0,0,1.006,70,-20,0,0,0,-3.2448,1.006,-0.614575,-0.159523,1,1,1
78,Chemical,1,1,0,1.003,26.42,0.71,0.26,0,0,0,0,0,0,0,0,0,-3.5474,1.00343,-0.709762,-0.259996,1,1,1
79,CapitlHl,1,1,0,1.009,26.72,0.39,0.32,0,0,0,0,0,0,0,0.2,0,-3.2464,1.00923,-0.389682,-0.319994,1,1,1
80,CabinCrk,1,1,2,1.04,28.96,1.3,0.26,4.77,0,0,1.04,280,-165,0,0,0,-0.9967,1.04,3.47137,0.788149,1,1,1
81,Kanawha,1,1,0,0.997,28.1,0,0,0,0,0,0,0,0,0,0,0,-1.8424,0.99681,0.0026868,2.10E-07,1,1,1
82,Logan,1,1,0,0.989,27.24,0.54,0.27,0,0,0,0,0,0,0,0.2,0,-2.7184,0.988798,-0.540051,-0.269997,1,1,1
83,Sprigg,1,1,0,0.985,28.42,0.2,0.1,0,0,0,0,0,0,0,0.1,0,-1.5279,0.984555,-0.200306,-0.099987,1,1,1
84,BetsyLne,1,1,0,0.98,30.95,0.11,0.07,0,0,0,0,0,0,0,0,0,1.0075,0.979762,-0.110029,-0.0700056,1,1,1
85,BeaverCk,1,1,2,0.985,32.51,0.24,0.15,0,0,0,0.985,23,-8,0,0,0,2.5626,0.985,-0.23962,-0.208192,1,1,1
86,Hazard,1,1,0,0.987,31.14,0.21,0.1,0,0,0,0,0,0,0,0,0,1.1931,0.986691,-0.210002,-0.100001,1,1,1
87,Pinevlle,1,1,2,1.015,31.4,0,0,0.04,0,0,1.015,1000,-100,0,0,0,1.4523,1.015,0.0399988,0.110217,1,1,1
88,Fremont,1,1,0,0.987,35.64,0.48,0.1,0,0,0,0,0,0,0,0,0,5.6938,0.987457,-0.479976,-0.100002,1,1,1
89,ClinchRv,1,1,2,1.005,39.69,0,0,6.07,0,0,1.005,300,-210,0,0,0,9.7493,1.005,6.06945,-0.136491,1,1,1
90,Holston,1,1,2,0.985,33.29,0.78,0.42,-0.85,0,0,0.985,300,-300,0,0,0,3.349,0.985,-1.62916,0.172665,1,1,1
91,HolstonT,1,1,2,0.98,33.31,0,0,-0.1,0,0,0.98,100,-100,0,0,0,3.3693,0.98,-0.0999636,-0.154053,1,1,1
92,Saltvlle,1,1,2,0.993,33.8,0.65,0.1,0,0,0,0.99,9,-3,0,0,0,3.8569,0.993,-0.649672,-0.0952169,1,1,1
93,Tazewell,1,1,0,0.987,30.79,0.12,0.07,0,0,0,0,0,0,0,0,0,0.8514,0.987371,-0.120025,-0.0700015,1,1,1
94,Switchbk,1,1,0,0.991,28.64,0.3,0.16,0,0,0,0,0,0,0,0,0,-1.2993,0.990807,-0.299784,-0.159999,1,1,1
95,Caldwell,1,1,0,0.981,27.67,0.42,0.31,0,0,0,0,0,0,0,0,0,-2.2726,0.981108,-0.420022,-0.310004,1,1,1
96,Baileysv,1,1,0,0.993,27.51,0.38,0.15,0,0,0,0,0,0,0,0,0,-2.4421,0.992787,-0.380266,-0.149998,1,1,1
97,Sundial,1,1,0,1.011,27.88,0.15,0.09,0,0,0,0,0,0,0,0,0,-2.0701,1.01143,-0.1501,-0.0899993,1,1,1
98,Bradley,1,1,0,1.024,27.4,0.34,0.08,0,0,0,0,0,0,0,0,0,-2.5436,1.02351,-0.340076,-0.0800013,1,1,1
99,Hinton,1,1,2,1.01,27.04,0,0,-0.42,0,0,1.01,100,-100,0,0,0,-2.901,1.01,-0.42008,-0.175362,1,1,1
100,Glen Lyn,1,1,2,1.017,28.03,0.37,0.18,2.52,0,0,1.017,155,-50,0,0,0,-1.9009,1.017,2.14987,0.908623,1,1,1
101,Wythe,1,1,0,0.993,29.61,0.22,0.15,0,0,0,0,0,0,0,0,0,-0.3333,0.992759,-0.219978,-0.149998,1,1,1
102,Smythe,1,1,0,0.991,32.3,0.05,0.03,0,0,0,0,0,0,0,0,0,2.3576,0.991595,-0.050014,-0.0299986,1,1,1
103,Claytor,1,1,2,1.001,24.44,0.23,0.16,0.4,0,0,1.01,40,-15,0,0,0,-5.4954,1.001,0.170071,0.256454,1,1,1
104,Hancock,1,1,2,0.971,21.69,0.38,0.25,0,0,0,0.971,23,-8,0,0,0,-8.2327,0.971,-0.380234,-0.170007,1,1,1
105,Roanoke,1,1,2,0.965,20.57,0.31,0.26,0,0,0,0.965,23,-8,0,0.2,0,-9.338,0.965,-0.309526,-0.388945,1,1,1
106,Cloverdl,1,1,0,0.962,20.32,0.43,0.16,0,0,0,0,0,0,0,0,0,-9.5942,0.961133,-0.430599,-0.160016,1,1,1
107,Reusens,1,1,2,0.952,17.53,0.28,0.12,-0.22,0,0,0.952,200,-200,0,0.06,0,-12.3897,0.952,-0.498838,-0.0547563,1,1,1
108,Blaine,1,1,0,0.967,19.38,0.02,0.01,0,0,0,0,0,0,0,0,0,-10.534,0.966211,-0.0200406,-0.01001,1,1,1
109,Franklin,1,1,0,0.967,18.93,0.08,0.03,0,0,0,0,0,0,0,0,0,-10.9848,0.967025,-0.0801508,-0.0299927,1,1,1
110,Fieldale,1,1,2,0.973,18.09,0.39,0.3,0,0,0,0.973,23,-8,0,0.06,0,-11.8264,0.973,-0.390905,-0.247187,1,1,1
111,DanRiver,1,1,2,0.98,19.74,0,0,0.36,0,0,0.98,1000,-100,0,0,0,-10.1828,0.98,0.35969,-0.0183574,1,1,1
112,Danville,1,1,2,0.975,14.99,0.25,0.13,-0.43,0,0,0.975,1000,-100,0,0,0,-14.9109,0.975,-0.676756,0.28366,1,1,1
113,Deer Crk,1,1,2,0.993,13.74,0,0,-0.06,0,0,0.993,200,-100,0,0,0,-15.9929,0.993,-0.060254,0.0612142,1,1,1
114,WMedford,1,1,0,0.96,14.46,0.08,0.03,0,0,0,0,0,0,0,0,0,-15.2712,0.960674,-0.080151,-0.0300023,1,1,1
115,Medford,1,1,0,0.96,14.46,0.22,0.07,0,0,0,0,0,0,0,0,0,-15.2784,0.960532,-0.220117,-0.0700048,1,1,1
116,KygerCrk,1,1,2,1.005,27.12,0,0,-1.84,0,0,1.005,1000,-1000,0,0,0,-2.8278,1.005,-1.83986,0.513099,1,1,1
117,Corey,1,1,0,0.974,10.67,0.2,0.08,0,0,0,0,0,0,0,0,0,-19.037,0.973824,-0.200006,-0.0800031,1,1,1
118,WHuntngd,1,1,0,0.949,21.92,0.33,0.15,0,0,0,0,0,0,0,0,0,-8.0701,0.949425,-0.331291,-0.150024,1,1,1
